movie,release_date,release_order,phase,running_time,budget,box_office,rt_critic_score,rt_audience_score,characters,Gender Rating,Gender Rank,Race Rating,Race Rank,Sexuality Rating,Sexuality Rank,Overall Rating,Overall Rank
Avengers: Age of Ultron,1-May-15,11,2,141,444,"1,403",76,83,"Baron Strucker, Black Widow, Natasha Romanoff, Maria Hill, Nathaniel Barton, Nick Fury, Cameron Klein, Captain America, Steve Rogers, Cooper Barton, Costel, Peggy Carter, Erik Selvig, Quicksilver, Pietro Maximoff, F.R.I.D.A.Y., Scarlett Witch, Wanda Maximoff, Hawkeye, Clint Barton, Heimdall, Helen Cho, Hulk, Thanos, Thor, Iron Man, Tony Stark, Ultron, Ulysses Klaue, J.A.R.V.I.S., Vision, War Machine, James Rhodes, Watcher Informant, Laura Barton, Lila Barton, Zrinka, Bruce Banner",0.2857142857,19,0.1428571429,33,0,10,0.4285714286,30
Ant-Man,17-Jul-15,12,2,117,130,519.3,83,86,"Scott Lang, Ant Man, Hank Pym, Hope van Dyne, Darren Cross, Yellowjacket, Jim Paxton, Luis, Dave, Sam Wilson, Falcon, Gale, Maggie Lang, Cassie Lang, Kurt Goreshter, Mitchell Carson, Peggy Carter, Howard Stark, Dale, Frank, Janet van Dyne, Wasp, Ernesto, Carlos, Emily, Peachy, Ignacio",0.2380952381,25,0.3333333333,17,0,10,0.5714285714,19
Captain America: Civil War,6-May-16,13,3,147,250,"1,153",90,89,"Scott Lang, Ant Man, Attache, Ayo, Baron Zemo, Black Widow, Natasha Romanoff, Madao, Maria Stark, May Parker, Miriam Sharpe, Captain America, Steve Rogers, Charlie Spencer, Brock Rumlow, Scarlett Witch, Wanda Maximoff, Sharon Carter, Spider Man, Peter Parker, Everett Ross, F.R.I.D.A.Y., T'Chaka, T'Challa, Thaddeus Ross, Theo Broussard, Hawkeye, Clint Barton, Heike Zemo, Howard Stark, Vasily Karpov, Vision, Iron Man, Tony Stark, Josef, War Machine, James Rhodes, Watcher Informant, Winter Soldier, Bucky Barnes, Helmut Zemo",0.2962962963,17,0.2222222222,26,0,10,0.5185185185,24
Doctor Strange,4-Nov-16,14,3,115,165,677.7,89,85,"Dr. Steven Strange, Karl Mordo, Christine Palmer, Wong, Kaecilius, Ancient One, Nicodemus West, Pangborn, Lucian, Hamir, Sol Rama, Daniel Drumm, Pat Kiernan",0.1666666667,33,0.4166666667,10,0,10,0.5833333333,18
Guardians of the Galaxy Vol. 2,5-May-17,15,3,137,200,864,85,87,"Adam Warlock, Aleta Ogord, Arkon, Ayesha, Mantis, Martinex, Meredith Quill, Brahl, Nebula, Narblik, Oblo, Drax, Ego, Rocket, Retch, Fitzgibbon, Gamora, Gef, Grandmaster, Groot, Scrote, Shran, Stakar Ogord, Star Lord, Peter Quill, Halfnut, Huhtar, Taserface, Kraglin Obfonteri, Krugarr, Watcher Informant, Yondu Udonta, Zylak",0.2,29,0.2,29,0,10,0.4,31
Spider-Man: Homecoming,7-Jul-17,16,3,133,175,880.2,92,87,"Abe Brown, Andre Wilson, Anne Marie Hoag, Liz Allan, Barry Hapgood, Betty Brant, Mac Gargan, Marjorie, May Parker, Michelle Jones-Watson, Monica Warren, Morita, Murph, Charles Murphy, Cindy Moon, Cobbwell, Crimson, Ned Leeds, Pepper Potts, Prowler, Delmar, Doris Toomes, Douglas, F.R.I.D.A.Y., Flash Thompson, Foster, Happy Hogan, Iron Man, Tony Stark, Sally Avril, Seymour O'Reilly, Shocker, Spider Man, Peter Parker, Steve Rogers, Jackson Brice, Jason Ionello, Tinkerer, Tiny McKeever, Karen, Klev, Vulture, Watcher Informant, Adrian Toomes, Phineas Mason, Aaron Davis",0.2972972973,16,0.4864864865,9,0,10,0.7837837838,12
Thor: Ragnarok,3-Nov-17,17,3,130,180,854,93,87,"Biff, Black Widow, Natasha Romanoff, Korg, Loki, Dr. Steven Strange, Doug, Miek, Odin, Skurge, Executioner, Fandral, Roscoe, Sif, Tasba, Thor, Topaz, Hajo, Heimdall, Hela, Hogun, Hulk, Valkyrie, Volstagg, Jane Foster, Watcher Informant, Bruce Banner",0.2857142857,19,0.2380952381,24,0.1428571429,1,0.6666666667,16
Black Panther,16-Feb-18,18,3,134,200,"1,348",96,79,"Ayo, Okoye, Black Panther, T'Challa, Ramonda, River Tribe Elder, Dave (Henchman), Sope, Sophia, Erik Kilmonger, Everett Ross, T'Chaka, Fiona Thomas, Griot, Ulysses Klaue, Limbani, Linda, W'kabi, Watcher Informant, Winter Soldier, Bucky Barnes, M'baku, M'bele, M'Kathu, Merchant Tribe Elder, Xoliswa, Yama, Zawavari, Zuri, N'Jobu, Nakia, Nomble, Shuri",0.5652173913,2,0.7391304348,3,0,10,1.304347826,1
Avengers: Infinity War,27-Apr-18,19,3,149,325,"2,048",85,91,"Maria Hill, Mantis, M'Baku, Yama, Loki, Wong, Winter Soldier, Bucky Barnes, Watcher Informant, War Machine, James Rhodes, Iron Man, Tony Stark, Hulk, Bruce Banner, Vision, Heimdall, Happy Hogan, Groot, Gamora, Tiny McKeever, Thor, Thanos, Thaddeus Ross, T'Challa, Black Panther, F.R.I.D.A.Y., Eitri, Ebony Maw, Steve Rogers, Captain America, Star Lord, Peter Quill, Spider Man, Peter Parker, Scarlet Witch, Wanda Maximoff, Sally Avril, Drax, Dr. Steven Strange, Roscoe, Rocket, Red Skull, Johann Schmidt, Cull Obsidian, Corvus Glaive, Taneleer Tivan ""Collector"", Cindy Moon, Charles Murphy, Proxima Midnight, Pepper Potts, Okoye, Black Widow, Natasha Romanoff, Bert, Shuri, Ayo, Nebula, Ned Leeds, Nick Fury, Nomble",0.3125,13,0.3541666667,14,0.02083333333,9,0.6875,15
Ant-Man and the Wasp,6-Jul-18,20,3,118,130,623,87,75,"Ana Maria, Anitolov, Ant Man, Scott Lang, Karapetyan, Knox, Kurt Goreshter, Luis, Bill Foster, Burleigh, Cassie Lang, Cathrine Starr, Maggie Lang, Pearson, Daniel Gooobler, Derek, Elihas Starr, Scott, Sonny Burch, Stoltz, Ghost, Ava Starr, Hank Pym, Janet van Dyne, Jim Paxton, Jimmy Woo, Wasp, Hope van Dyne, Watcher Informant, Uzman, Rose",0.2916666667,18,0.25,21,0,10,0.5416666667,20
