Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Velt,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
HYDRA Lieutenant,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Hutter,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Schneider,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Gilmore Hodge,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Gabe Jones,Men,POC,2011,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Roeder,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Michael Duffy,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Connie,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Lorraine,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Brandt,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Bonnie,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Adolf Hitler,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
James Falsworth,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jacques Dernier,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jan,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jim Morita,Men,POC,2011,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
NASA Scientist,Women,White,2012,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Georgi Luchkov,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Weaselly Thug,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Tall Thug,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jack Taggart,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Joan Rivers,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Josh Elliott,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Wu,Men,POC,2013,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Wu Jiaqi,Women,POC,2013,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Heather,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Thomas Roberts,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Thomas Richards,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Gary,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
George Kotsiopoulos,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Giuliana Rancic,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Sweat Shop Agent,Women,White,2013,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Rose Hill Sheriff,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Rodriguez,Men,POC,2013,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Erin,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Erin's Brother,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Eric Savin,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ellen Brandt,Women,POC,2013,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
E.J.,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Pritchet,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ponytail Express,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Pat Kiernan,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Drew Grey,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
David,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Mrs. Davis,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Chad Davis,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Megan Henderson,Women,POC,2013,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Bill Maher,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Kelly Osbourne,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
John,Men,POC,2013,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ian Boothby,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Tyr,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Horned Marauder,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Hildegund,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Navid,Men,POC,2013,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Eir,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Kronan Marauder,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Maddie,Women,White,2013,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Wonsik,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jakuna Singh,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
J. Sandell,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
S. Scudder,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Fine,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ferdinand Lopez,Men,POC,2014,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Russo,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Riley,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Douglas Rockwell,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
