Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Dreykov,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Antonia Dreykov,Women,White,2021,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Druig,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Dum Dum Dugan,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Duquesne,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ego,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eitri,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Layla El-Faouly,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Matthew Ellis,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eros,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Abraham Erskine,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Christine Everhart,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Fandral,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Fandral,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Wilson Fisk,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
John Flynn,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Bill Foster,Men,POC,2018,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Jane Foster,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Frigga,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
