Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Martinex,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Phineas Mason,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Rick Mason,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Ebony Maw,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pietro Maximoff,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Wanda Maximoff,Women,White,2014,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
M'Baku,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Proxima Midnight,Women,White,2018,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Miek,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mobius M. Mobius,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Anton Mogat,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Karl Mordo,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Karli Morgenthau,Women,POC,2021,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Matt Murdock,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Najma,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nakia Bahadir,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nebula,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Erik Killmonger Stevens,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
N'Jobu,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Kraglin Obfonteri,Men,White,2014,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Cull Obsidian,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Otto Octavius,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Odin,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Okoye,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Aleta Ogord,Women,POC,2017,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Stakar Ogord,Men,White,2017,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Norman Osborn,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
The Other,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Christine Palmer,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jonathan Pangborn,Men,White,2016,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
May Parker,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Peter Parker,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Peter Parker (Amazing Spiderman),Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Peter Parker (Neighborhood Spiderman),Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Aunt May,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Karun Patel,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Phastos,Men,POC,2021,LGBTQ+,2021,Good,Men of Color,LGBTQ+ Men,LGBTQ+ POC,LGBTQ+ Men,Main Character
Chester Phillips,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Alexander Pierce,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pip the Troll,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pepper Potts,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Augustus Pugliese,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Dr. Hank Pym,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
